Point	Tl	L	Ts
Flow0_4.17e-01_5.00e-01_2.50e+00	0.188721	0.198879	113.232488
Flow0_4.17e-01_5.00e-01_5.00e+00	0.205014	0.219335	123.008579
Flow0_4.17e-01_5.00e-01_7.50e+00	0.084769	0.106951	50.861217
Flow0_4.17e-01_5.00e-01_1.00e+01	0.210901	0.225998	126.540396
Flow0_1.25e+00_5.00e-01_2.50e+00	0.263302	0.264505	157.981405
Flow0_1.25e+00_5.00e-01_5.00e+00	0.229255	0.218797	137.552708
Flow0_1.25e+00_5.00e-01_7.50e+00	0.183047	0.071665	109.828217
Flow0_1.25e+00_5.00e-01_1.00e+01	0.185773	0.151606	111.464016
Flow0_2.08e+00_5.00e-01_2.50e+00	0.206396	0.205780	123.837429
Flow0_2.08e+00_5.00e-01_5.00e+00	0.244271	0.235367	146.562433
Flow0_2.08e+00_5.00e-01_7.50e+00	0.117576	0.132819	70.545637
Flow0_2.08e+00_5.00e-01_1.00e+01	0.239222	0.183011	143.533151
