Point	Tl	L	Ts
Flow0_4.17e-01_5.00e-01_2.50e+00	0.229145	0.238137	137.487183
Flow0_4.17e-01_5.00e-01_5.00e+00	0.224507	0.235747	134.704467
Flow0_4.17e-01_5.00e-01_7.50e+00	0.208586	0.236822	125.151900
Flow0_4.17e-01_5.00e-01_1.00e+01	0.155604	0.171613	93.362414
Flow0_1.25e+00_5.00e-01_2.50e+00	0.296859	0.299454	178.115450
Flow0_1.25e+00_5.00e-01_5.00e+00	0.275856	0.275625	165.513746
Flow0_1.25e+00_5.00e-01_7.50e+00	0.218820	0.057773	131.291901
Flow0_1.25e+00_5.00e-01_1.00e+01	0.172785	0.138579	103.670999
Flow0_2.08e+00_5.00e-01_2.50e+00	0.202505	0.202849	121.502800
Flow0_2.08e+00_5.00e-01_5.00e+00	0.238338	0.235642	143.002808
Flow0_2.08e+00_5.00e-01_7.50e+00	0.104084	0.115697	62.450410
Flow0_2.08e+00_5.00e-01_1.00e+01	0.188971	0.180889	113.382735
