Point	Tl	L	Ts
Flow0_4.17e-01_5.00e-01_2.50e+00	0.233089	0.231271	139.853461
Flow0_4.17e-01_5.00e-01_5.00e+00	0.261954	0.262981	157.172126
Flow0_4.17e-01_5.00e-01_7.50e+00	0.114536	0.141195	68.721809
Flow0_4.17e-01_5.00e-01_1.00e+01	0.202216	0.218868	121.329658
Flow0_1.25e+00_5.00e-01_2.50e+00	0.290355	0.277692	174.212788
Flow0_1.25e+00_5.00e-01_5.00e+00	0.286488	0.262577	171.892746
Flow0_1.25e+00_5.00e-01_7.50e+00	0.183038	0.091490	109.822562
Flow0_1.25e+00_5.00e-01_1.00e+01	0.222458	0.171090	133.474920
Flow0_2.08e+00_5.00e-01_2.50e+00	0.209774	0.201693	125.864646
Flow0_2.08e+00_5.00e-01_5.00e+00	0.202957	0.190121	121.773912
Flow0_2.08e+00_5.00e-01_7.50e+00	0.145830	0.159336	87.497833
Flow0_2.08e+00_5.00e-01_1.00e+01	0.226659	0.174577	135.995178
