Point	Tl	L	Ts
Flow0_4.17e-01_5.00e-01_2.50e+00	0.227151	0.226821	136.290662
Flow0_4.17e-01_5.00e-01_5.00e+00	0.273194	0.270643	163.916383
Flow0_4.17e-01_5.00e-01_7.50e+00	0.228377	0.247749	137.026100
Flow0_4.17e-01_5.00e-01_1.00e+01	0.201313	0.214441	120.787944
Flow0_1.25e+00_5.00e-01_2.50e+00	0.290001	0.279274	174.000412
Flow0_1.25e+00_5.00e-01_5.00e+00	0.296776	0.287984	178.065425
Flow0_1.25e+00_5.00e-01_7.50e+00	0.217532	0.073770	130.519314
Flow0_1.25e+00_5.00e-01_1.00e+01	0.170571	0.139344	102.342848
Flow0_2.08e+00_5.00e-01_2.50e+00	0.204754	0.197803	122.852663
Flow0_2.08e+00_5.00e-01_5.00e+00	0.197036	0.189284	118.221468
Flow0_2.08e+00_5.00e-01_7.50e+00	0.110681	0.120959	66.408442
Flow0_2.08e+00_5.00e-01_1.00e+01	0.201981	0.197230	121.188362
